Preflight latency (all-time) — 283 samples

  check                            n      p50      p95      max
  ---------------------------- -----  -------  -------  -------
  loops                           53   4812ms   8253ms   8723ms
  observer                        81   4423ms   5972ms   7073ms
  git_clean                       67    880ms   3959ms   4100ms
  engine:kimi                     11   2000ms   2000ms   2000ms
  dead_engines                    46     19ms     22ms     23ms
  dpapi                           14      8ms     10ms     10ms
  x                                7     10ms     10ms     10ms
  pytest_cache                     3      1ms      1ms      1ms
  status_csv                       1      1ms      1ms      1ms

Overall: p50=863ms  p95=7060ms  p99=8228ms  max=8723ms
