backend,concurrency,wall_s,ok,fail,rate_limited,p50_s,p95_s,max_s,min_s,speedup_vs_serial
claude-mimo,4,30.0,4,0,0,29.9,30.3,30.3,28.0,3.9
claude-mimo,8,28.0,8,0,0,25.8,28.4,28.4,22.0,7.3
claude-mimo,16,48.0,16,0,0,41.9,47.8,48.0,35.0,13.9
claude-mimo,32,64.0,32,0,0,56.9,60.4,64.0,48.0,27.4
claude-kimi,4,23.0,4,0,0,20.7,22.9,23.0,19.0,3.5
claude-kimi,8,36.0,8,0,0,30.5,36.3,36.3,25.0,6.8
claude-kimi,16,52.0,16,0,0,40.0,51.7,52.0,30.0,12.6
claude-kimi,32,66.0,32,0,0,54.5,66.1,66.1,45.0,26.6
claude-deepseek,4,16.0,4,0,0,15.0,16.2,16.2,13.0,3.7
claude-deepseek,8,27.0,8,0,0,24.3,26.9,27.0,20.0,7.4
claude-deepseek,16,39.0,16,0,0,37.7,39.5,39.5,30.0,15.0
claude-deepseek,32,58.84762270000647,32,0,0,55.08285549998982,58.34049440000672,58.83355780001148,46.04565929999808,29.649791795238798
deepseek,4,16.07978689999436,4,0,0,14.243348099989817,16.079089699982433,16.079089699982433,12.32905749999918,3.450227583550134
deepseek,8,29.631647899979725,8,0,0,22.545554300013464,29.63017960000434,29.63017960000434,21.316663100005826,6.282177337162679
deepseek,16,37.16634949998115,16,0,0,31.329957699985243,37.16232060000766,37.16232060000766,30.094391099992208,13.797800012621833
deepseek,32,46.72114499998861,32,0,0,37.0528966000129,44.195005000015954,46.65175580000505,32.433020399999805,25.880180156122798
